protein,condition,sample,cell,edge_margin_um,min_track_length,n_tracks_raw,n_edge_removed,n_tracks_after_edge,n_tracks_used,median_D,mean_D,median_log10_D,median_track_length
SNAP25,control,1,2,0.3,15,1704,358,1346,795,0.4733370673808891,0.6018972816167106,-0.32482948427353814,23.0
SNAP25,500uM_H2O2_30min,1,3,0.3,15,1354,165,1189,670,0.3733347104755436,0.4746374200139181,-0.4279023118536086,22.0
SNAP25,Ox_500uM_H2O2,1,3,0.3,15,1487,250,1237,761,0.4076665485307688,0.4887253337081841,-0.38969492353564844,23.0
SNAP25,control,1,3,0.3,15,1821,332,1489,860,0.4152513260220221,0.5222752257768583,-0.38168907497082855,22.0
SNAP25,500uM_H2O2_30min,2,1,0.3,15,2890,922,1968,980,0.4748199361687191,0.6099298706187972,-0.32347108753961384,22.0
SNAP25,Ox_500uM_H2O2,2,1,0.3,15,4794,1072,3722,1923,0.5257200351311488,0.6743836881070883,-0.2792454717525465,21.0
SNAP25,control,2,1,0.3,15,4368,914,3454,1922,0.49214601649782164,0.6261512820297402,-0.3079060318165212,22.0
SNAP25,500uM_H2O2_30min,2,2,0.3,15,2378,889,1489,699,0.5138976970858712,0.7788259937763207,-0.2891233285011267,22.0
SNAP25,Ox_500uM_H2O2,2,2,0.3,15,2720,940,1780,952,0.5811737786286758,0.778385396359975,-0.2356940022893699,22.0
SNAP25,control,2,2,0.3,15,2181,711,1470,814,0.5515939326907,0.7032381569832349,-0.25838052720386917,23.0
SNAP25,500uM_H2O2_30min,2,3,0.3,15,2121,495,1626,822,0.4607940470933526,0.6706073285040377,-0.33649319761745,22.0
SNAP25,Ox_500uM_H2O2,2,3,0.3,15,2739,674,2065,1214,0.4878109488623936,0.5967521322804615,-0.31174847360248586,22.0
SNAP25,control,2,3,0.3,15,2811,532,2279,1291,0.4985173661255894,0.6529409238012054,-0.3023197082025784,22.0
Syx,500uM_H2O2_30min,1,1,0.3,15,705,95,610,241,0.24920781879863463,0.42985105732319,-0.6034383359782259,19.0
Syx,Ox_500uM_H2O2,1,1,0.3,15,493,275,218,76,0.19774977361750318,0.3049035676561267,-0.7038935837405935,19.0
Syx,control,1,1,0.3,15,893,514,379,153,0.21120796872789438,0.4146090587172884,-0.6752897002042045,20.0
Syx,500uM_H2O2_30min,1,2,0.3,15,2187,754,1433,486,0.28290245388480995,0.47760552955740243,-0.548373896617578,19.0
Syx,Ox_500uM_H2O2,1,2,0.3,15,2271,968,1303,563,0.28541217956073356,0.4821977441209746,-0.5445274979236995,21.0
Syx,control,1,2,0.3,15,3537,817,2720,1214,0.4133794866846486,0.6144680240819356,-0.38365211004093136,20.0
Syx,500uM_H2O2_30min,1,3,0.3,15,3276,516,2760,1130,0.27357220797809223,0.4711382698693686,-0.5629280298300717,20.0
Syx,Ox_500uM_H2O2,1,3,0.3,15,923,243,680,290,0.23160190000103664,0.3826506869491761,-0.635270015453123,21.0
Syx,control,1,3,0.3,15,2602,610,1992,891,0.29448459366987184,0.47727432168608547,-0.5309374209420035,21.0
