protein,condition,sample,cell,edge_margin_um,min_track_length,velocity_percentile,threshold_um_s,fast_fraction,fast_percent,n_links
Syx,500uM_H2O2_30min,3,2,0.3,10,95,28.23155674874703,0.0,0.0,7610
Syx,Ox_500uM_H2O2,3,2,0.3,10,95,28.23155674874703,0.0,0.0,8906
Syx,control,3,2,0.3,10,95,28.23155674874703,0.034602973377895585,3.4602973377895587,34708
Syx,500uM_H2O2_30min,3,3,0.3,10,95,28.23155674874703,0.041468599033816424,4.1468599033816425,25875
Syx,Ox_500uM_H2O2,3,3,0.3,10,95,28.23155674874703,0.05251270468661773,5.251270468661772,8855
Syx,control,3,3,0.3,10,95,28.23155674874703,0.05004156275976725,5.004156275976725,18045
Syx,500uM_H2O2_30min,1,1,0.3,10,99,44.05220706907267,0.012883435582822086,1.2883435582822087,9780
Syx,Ox_500uM_H2O2,1,1,0.3,10,99,44.05220706907267,0.016965428937259924,1.6965428937259923,3124
Syx,control,1,1,0.3,10,99,44.05220706907267,0.014527027027027028,1.4527027027027029,5920
Syx,500uM_H2O2_30min,1,2,0.3,10,99,44.05220706907267,0.02448380375071036,2.4483803750710362,21116
Syx,Ox_500uM_H2O2,1,2,0.3,10,99,44.05220706907267,0.018205921343349536,1.8205921343349536,22630
Syx,control,1,2,0.3,10,99,44.05220706907267,0.018400788904974718,1.8400788904974719,47661
Syx,500uM_H2O2_30min,1,3,0.3,10,99,44.05220706907267,0.019740705605999005,1.9740705605999005,44274
Syx,Ox_500uM_H2O2,1,3,0.3,10,99,44.05220706907267,0.016983016983016984,1.6983016983016983,12012
Syx,control,1,3,0.3,10,99,44.05220706907267,0.01841148109510249,1.8411481095102489,35467
Syx,500uM_H2O2_30min,2,1,0.3,10,99,44.05220706907267,0.0,0.0,6842
Syx,Ox_500uM_H2O2,2,1,0.3,10,99,44.05220706907267,0.0,0.0,15665
Syx,control,2,1,0.3,10,99,44.05220706907267,0.0,0.0,31356
